depth,spp,torque,flow
1466.3975,22782.7602092538,9.12465479227033,4430.97616248
1467.496,22794.550244225095,8.717909407770911,4430.97616248
1468.572,22741.4606130677,8.975514817953869,4408.79364816
1469.558,22741.4606130677,8.568769433454449,4408.79364816
1470.5079999999998,22748.7001082256,8.55521125397114,4408.79364816
1471.4725,22720.9142363341,8.82637484363742,4408.79364816
1472.44,22672.581987709,9.097538433303695,4408.79364816
1473.479,22648.9329701934,8.9077239205373,4408.79364816
1474.54,22608.8054827472,9.13821297175364,4408.79364816
1475.476,22599.394139042,9.66698197160289,4408.79364816
1476.5045,22571.64274093695,8.89416574105399,4408.79364816
1477.67,22541.4437039929,8.85349120260405,4408.79364816
1478.3105,20674.5502717217,7.4569987158227,4273.95727272
1479.6075,22739.7369237444,8.77214212570416,4408.79364816
1480.5825,22882.320504567204,8.541653074487826,4408.79364816
1481.4940000000001,22887.69841525585,8.55521125397114,4408.79364816
1482.456,22866.393615219906,8.406071279654679,4408.79364816
1483.4620000000002,22725.6026712934,8.54165307448782,4408.79364816
1484.446,22728.636364502403,8.9077239205373,4408.79364816
1485.479,22748.424317933797,8.60944397190439,4408.79364816
1486.464,22697.6099566832,8.799258484670789,4408.79364816
1487.549,22698.1615372666,8.880607561570669,4408.79364816
1488.4495000000002,22692.163098421603,8.880607561570669,4408.79364816
1489.3975,22718.914756719103,8.758583946220849,4408.79364816
1490.4720000000002,22751.1822208511,8.636560330871019,4408.79364816
1491.46,22743.735882974503,8.56876943345445,4408.79364816
1492.5845,20785.7627068605,8.785700305187481,4141.75175862
1493.558,21089.4078180517,8.717909407770911,4171.10762868
1494.553,22752.354329590897,8.67723486932096,4408.79364816
1495.5165,20736.4651922144,8.751804856479197,4150.43927916
1496.4935,20927.1741789434,8.96195663847056,4176.18008076
1497.485,22757.6632927067,9.11109661278701,4408.79364816
1498.507,22767.8675335006,8.989072997437189,4408.79364816
1499.5655000000002,22771.7630713712,9.24667840762015,4408.79364816
1500.485,22783.6565277019,8.812816664154099,4408.79364816
1501.579,20854.8481749381,8.799258484670789,4325.62814652
1502.548,20624.9080192109,8.717909407770911,4197.98405388
1503.554,22787.2418014944,8.880607561570669,4408.79364816
1504.471,22780.2091490553,8.65011851035434,4408.79364816
1505.4805,22735.7379645144,8.867049382087359,4408.79364816
1506.474,22721.7416072093,8.921282100020619,4408.79364816
1507.455,22761.386461645,8.867049382087359,4408.79364816
1508.504,22717.5358052604,8.934840279503929,4408.79364816
1509.4640000000002,22772.1422830223,8.73146758725422,4408.79364816
1510.4489999999998,22741.1158752031,8.799258484670789,4408.79364816
1511.4160000000002,22741.3227179219,8.880607561570669,4408.79364816
1512.479,22749.9411645383,9.28735294607009,4408.79364816
1513.475,22739.116395588106,9.12465479227033,4408.79364816
1514.507,22741.4606130677,9.368702022969973,4408.79364816
1515.5175,22760.6280383427,8.975514817953869,4408.79364816
1516.42,22786.621273338,9.23312022813684,4408.79364816
1517.5810000000001,22779.3817781802,9.15855024097861,4408.79364816
1518.3919999999998,22724.1547722619,7.402765997889451,4408.79364816
1519.6370000000002,22649.2777080581,9.382260202453288,4364.50432776
