Depth	TVD	ROP	Gas	C1(PPM)	C2	C3	iC4	nC4	C5
783	782.99	6.04	2	198	0	0	0	0	0
784	783.99	9.85	2	198	0	0	0	0	0
785	784.99	16.15	2	198	0	0	0	0	0
786	785.99	14.6	3	297	0	0	0	0	0
787	786.99	12.68	3	297	0	0	0	0	0
788	787.99	6.85	3	297	0	0	0	0	0
789	788.99	9.56	3	297	0	0	0	0	0
790	789.99	12.26	3	297	0	0	0	0	0
791	790.99	10.07	4	396	0	0	0	0	0
792	791.99	8.94	4	396	0	0	0	0	0
793	792.99	15.36	4	396	0	0	0	0	0
794	793.99	11.11	4	396	0	0	0	0	0
795	794.99	3.58	4	396	0	0	0	0	0
796	795.99	12.63	4	396	0	0	0	0	0
797	796.99	9.89	4	396	0	0	0	0	0
798	797.99	11.25	7	693	0	0	0	0	0
799	798.99	14.52	4	396	0	0	0	0	0
800	799.99	21.43	2	198	0	0	0	0	0
801	800.99	58.01	2	198	0	0	0	0	0
802	801.99	143.96	2	198	0	0	0	0	0
803	802.99	58.2	2	198	0	0	0	0	0
804	803.99	21.35	4	396	0	0	0	0	0
805	804.99	11.66	4	396	0	0	0	0	0
806	805.99	10.31	4	396	0	0	0	0	0
807	806.99	9.95	4	396	0	0	0	0	0
808	807.99	17.22	4	396	0	0	0	0	0
809	808.99	16.9	4	396	0	0	0	0	0
810	809.99	11.72	3	297	0	0	0	0	0
811	810.99	14.44	4	396	0	0	0	0	0
812	811.99	12.63	3	297	0	0	0	0	0
813	812.99	73.04	3	297	0	0	0	0	0
814	813.99	59.29	3	297	0	0	0	0	0
815	814.99	18.59	4	396	0	0	0	0	0
816	815.99	20.65	4	396	0	0	0	0	0
817	816.99	20.94	4	396	0	0	0	0	0
818	817.99	20.56	4	396	0	0	0	0	0
819	818.99	20.75	4	396	0	0	0	0	0
820	819.99	18.04	4	396	0	0	0	0	0
821	820.99	18	4	396	0	0	0	0	0
822	821.99	21.75	4	396	0	0	0	0	0
823	822.99	21.97	4	396	0	0	0	0	0
824	823.99	22.09	4	396	0	0	0	0	0
825	824.99	22.71	4	396	0	0	0	0	0
826	825.99	17.4	4	396	0	0	0	0	0
827	826.99	17.83	3	297	0	0	0	0	0
828	827.99	19.94	3	297	0	0	0	0	0
829	828.99	21.17	3	297	0	0	0	0	0
830	829.99	20.55	3	297	0	0	0	0	0
831	830.99	20.68	3	297	0	0	0	0	0
832	831.99	19.63	3	297	0	0	0	0	0
833	832.99	20.19	3	297	0	0	0	0	0
834	833.99	21	4	396	0	0	0	0	0
835	834.99	19.3	6	594	0	0	0	0	0
836	835.99	23.08	6	594	0	0	0	0	0
837	836.99	19.44	6	594	0	0	0	0	0
838	837.99	23.6	6	594	0	0	0	0	0
839	838.99	24.64	6	594	0	0	0	0	0
840	839.99	23.15	5	495	0	0	0	0	0
841	840.99	20.81	4	396	0	0	0	0	0
842	841.99	21.12	3	297	0	0	0	0	0
843	842.99	22.23	3	297	0	0	0	0	0
844	843.99	23.96	3	297	0	0	0	0	0
845	844.99	22.47	3	297	0	0	0	0	0
846	845.99	23.14	2	198	0	0	0	0	0
847	846.99	21.96	2	198	0	0	0	0	0
848	847.99	15.2	2	198	0	0	0	0	0
849	848.99	20.61	3	297	0	0	0	0	0
850	849.99	22.65	2	198	0	0	0	0	0
851	850.99	22.25	2	198	0	0	0	0	0
852	851.99	30.2	2	198	0	0	0	0	0
853	852.99	28.71	2	198	0	0	0	0	0
854	853.99	23.73	3	297	0	0	0	0	0
855	854.99	26.15	3	297	0	0	0	0	0
856	855.99	24.93	3	297	0	0	0	0	0
857	856.99	22.38	4	396	0	0	0	0	0
858	857.99	19.24	4	396	0	0	0	0	0
859	858.99	26.2	4	396	0	0	0	0	0
860	859.99	25.76	4	396	0	0	0	0	0
861	860.99	22	4	396	0	0	0	0	0
862	861.99	22.74	4	396	0	0	0	0	0
863	862.99	23.61	5	495	0	0	0	0	0
864	863.99	23.33	5	495	0	0	0	0	0
865	864.99	16.26	5	495	0	0	0	0	0
866	865.99	21.62	5	495	0	0	0	0	0
867	866.99	28.29	5	495	0	0	0	0	0
868	867.99	23.72	5	495	0	0	0	0	0
869	868.99	20.5	5	495	0	0	0	0	0
870	869.99	21.37	5	495	0	0	0	0	0
871	870.99	21.55	4	396	0	0	0	0	0
872	871.99	35.48	4	396	0	0	0	0	0
873	872.99	22.46	4	396	0	0	0	0	0
874	873.99	20.01	4	396	0	0	0	0	0
875	874.99	35.39	4	396	0	0	0	0	0
876	875.99	22.42	4	396	0	0	0	0	0
877	876.99	21.68	4	396	0	0	0	0	0
878	877.99	27.55	4	396	0	0	0	0	0
879	878.99	22.93	4	396	0	0	0	0	0
880	879.99	26.92	4	396	0	0	0	0	0
881	880.99	22.89	4	396	0	0	0	0	0
882	881.99	22.13	4	396	0	0	0	0	0
883	882.99	20.27	3	297	0	0	0	0	0
884	883.99	20.8	3	297	0	0	0	0	0
885	884.99	20.44	3	297	0	0	0	0	0
886	885.99	28.72	3	297	0	0	0	0	0
887	886.99	27.55	3	297	0	0	0	0	0
888	887.99	25.09	3	297	0	0	0	0	0
889	888.99	22.15	3	297	0	0	0	0	0
890	889.99	23.52	3	297	0	0	0	0	0
891	890.99	28.46	3	297	0	0	0	0	0
892	891.99	22.78	3	297	0	0	0	0	0
893	892.99	17.94	3	297	0	0	0	0	0
894	893.99	147.53	2	198	0	0	0	0	0
895	894.99	20.59	2	198	0	0	0	0	0
896	895.99	22.29	2	198	0	0	0	0	0
897	896.99	27.74	2	198	0	0	0	0	0
898	897.99	26.26	2	198	0	0	0	0	0
899	898.99	26	2	198	0	0	0	0	0
900	899.99	26.56	2	198	0	0	0	0	0
901	900.99	27.55	2	198	0	0	0	0	0
902	901.99	25.19	2	198	0	0	0	0	0
903	902.99	26.11	2	198	0	0	0	0	0
904	903.99	35.22	2	198	0	0	0	0	0
905	904.99	30.77	2	198	0	0	0	0	0
906	905.99	32.16	2	198	0	0	0	0	0
907	906.99	30.98	2	198	0	0	0	0	0
908	907.99	34.17	2	198	0	0	0	0	0
909	908.99	26.25	2	198	0	0	0	0	0
910	909.99	24.4	2	198	0	0	0	0	0
911	910.99	29.14	2	198	0	0	0	0	0
912	911.99	36.35	2	198	0	0	0	0	0
913	912.99	35.22	2	198	0	0	0	0	0
914	913.99	41.7	2	198	0	0	0	0	0
915	914.99	39.83	2	198	0	0	0	0	0
916	915.99	35.64	2	198	0	0	0	0	0
917	916.99	40.96	2	198	0	0	0	0	0
918	917.99	50.66	2	198	0	0	0	0	0
919	918.99	38.89	2	198	0	0	0	0	0
920	919.99	22.16	2	198	0	0	0	0	0
921	920.99	36.85	2	198	0	0	0	0	0
922	921.99	23.25	2	198	0	0	0	0	0
923	922.99	17.76	2	198	0	0	0	0	0
924	923.99	17.08	2	198	0	0	0	0	0
925	924.99	3.73	2	198	0	0	0	0	0
926	925.99	22	2	198	0	0	0	0	0
927	926.99	22.98	2	198	0	0	0	0	0
928	927.99	18.28	2	198	0	0	0	0	0
929	928.99	12.09	2	198	0	0	0	0	0
930	929.99	0	2	198	0	0	0	0	0
931	930.99	12.09	2	198	0	0	0	0	0
932	931.99	12.09	2	198	0	0	0	0	0
933	932.99	2.23	2	198	0	0	0	0	0
934	933.99	25.31	2	198	0	0	0	0	0
935	934.99	24.55	2	198	0	0	0	0	0
936	935.99	23.18	2	198	0	0	0	0	0
937	936.99	23.79	2	198	0	0	0	0	0
938	937.99	21.83	2	198	0	0	0	0	0
939	938.99	22.76	2	198	0	0	0	0	0
940	939.99	23.42	2	198	0	0	0	0	0
941	940.99	24.43	2	198	0	0	0	0	0
942	941.99	24.68	3	297	0	0	0	0	0
943	942.99	24.73	3	297	0	0	0	0	0
944	943.99	25.7	3	297	0	0	0	0	0
945	944.99	84.27	3	297	0	0	0	0	0
946	945.99	206.25	3	297	0	0	0	0	0
947	946.99	86.37	3	297	0	0	0	0	0
948	947.99	7.48	3	297	0	0	0	0	0
949	948.99	27.02	3	297	0	0	0	0	0
950	949.99	24.96	3	297	0	0	0	0	0
951	950.99	22.73	2	198	0	0	0	0	0
952	951.99	22.21	2	198	0	0	0	0	0
953	952.99	62.2	2	198	0	0	0	0	0
954	953.99	40.42	2	198	0	0	0	0	0
955	954.99	22.65	2	198	0	0	0	0	0
956	955.99	25.86	2	198	0	0	0	0	0
957	956.99	25.67	2	198	0	0	0	0	0
958	957.99	24.8	2	198	0	0	0	0	0
959	958.99	24.77	2	198	0	0	0	0	0
960	959.99	26.69	2	198	0	0	0	0	0
961	960.99	24.79	2	198	0	0	0	0	0
962	961.99	17.18	2	198	0	0	0	0	0
963	962.99	21.18	2	198	0	0	0	0	0
964	963.99	22.94	2	198	0	0	0	0	0
965	964.99	25.27	2	198	0	0	0	0	0
966	965.99	20.26	2	198	0	0	0	0	0
967	966.99	21.14	2	198	0	0	0	0	0
968	967.99	21.22	2	198	0	0	0	0	0
969	968.99	25.48	2	198	0	0	0	0	0
970	969.99	19.86	2	198	0	0	0	0	0
971	970.99	26.11	2	198	0	0	0	0	0
972	971.99	25.28	2	198	0	0	0	0	0
973	972.99	22.44	2	198	0	0	0	0	0
974	973.99	26.24	2	198	0	0	0	0	0
975	974.99	26.14	2	198	0	0	0	0	0
976	975.99	25.26	2	198	0	0	0	0	0
977	976.99	25.28	2	198	0	0	0	0	0
978	977.99	25.03	2	198	0	0	0	0	0
979	978.99	25.14	2	198	0	0	0	0	0
980	979.99	19.91	2	198	0	0	0	0	0
981	980.99	38.78	2	198	0	0	0	0	0
982	981.99	25.66	2	198	0	0	0	0	0
983	982.99	22.67	2	198	0	0	0	0	0
984	983.99	25.56	3	297	0	0	0	0	0
985	984.99	22.22	3	297	0	0	0	0	0
986	985.99	22.07	3	297	0	0	0	0	0
987	986.99	22.03	3	297	0	0	0	0	0
988	987.99	24.87	3	297	0	0	0	0	0
989	988.99	26.61	3	297	0	0	0	0	0
990	989.99	25.46	3	297	0	0	0	0	0
991	990.99	23.84	3	297	0	0	0	0	0
992	991.99	26.74	4	396	0	0	0	0	0
993	992.99	22.11	5	495	0	0	0	0	0
994	993.99	20.71	5	495	0	0	0	0	0
995	994.99	20.55	5	495	0	0	0	0	0
996	995.99	18.37	5	495	0	0	0	0	0
997	996.99	25.77	5	495	0	0	0	0	0
998	997.99	33.49	5	495	0	0	0	0	0
999	998.99	35.26	5	495	0	0	0	0	0
1000	999.99	32.59	5	495	0	0	0	0	0
1001	1000.99	18.68	4	396	0	0	0	0	0
1002	1001.99	20.3	3	297	0	0	0	0	0
1003	1002.99	20.94	2	198	0	0	0	0	0
1004	1003.99	24.86	2	198	0	0	0	0	0
1005	1004.99	22.08	2	198	0	0	0	0	0
1006	1005.99	24.2	2	198	0	0	0	0	0
1007	1006.99	20.34	2	198	0	0	0	0	0
1008	1007.99	23.54	2	198	0	0	0	0	0
1009	1008.99	19.87	2	198	0	0	0	0	0
1010	1009.99	25.78	2	198	0	0	0	0	0
