********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.90(m)
End:			1624.00(m)
Date/Time:	Saturday, August 05, 2006 /05:57:27
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

436.00                  -999.25                 -999.25                 335.6                   -999.25                 -999.25                 
436.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
436.90                  -999.25                 -999.25                 29.0                    -999.25                 -999.25                 
437.00                  -999.25                 -999.25                 -999.25                 1.737                   -999.25                 
437.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.20                  -999.25                 -999.25                 -999.25                 -999.25                 13.135                  
437.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
437.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.50                  -999.25                 -999.25                 10.9                    -999.25                 -999.25                 
438.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
438.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.40                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
439.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.70                  -999.25                 -999.25                 30.6                    -999.25                 -999.25                 
439.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
439.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.40                  -999.25                 0.00                    -999.25                 -999.25                 -999.25                 
440.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.60                  -999.25                 -999.25                 -999.25                 -999.25                 84495.109               
440.70                  -999.25                 0.00                    -999.25                 -999.25                 -999.25                 
440.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
440.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
441.00                  -999.25                 94.20                   32.7                    -999.25                 -999.25                 
441.10                  -999.25                 -999.25                 -999.25                 -999.25                 84495.109               
441.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
441.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
441.40                  -999.25                 141.15                  -999.25                 -999.25                 -999.25                 
441.50                  -999.25                 -999.25                 26.0                    -999.25                 -999.25                 
441.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
441.70                  -999.25                 204.07                  -999.25                 -999.25                 -999.25                 
441.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
441.90                  -999.25                 -999.25                 -999.25                 1.661                   84495.109               
442.00                  -999.25                 208.14                  -999.25                 -999.25                 -999.25                 
442.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
442.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
442.30                  -999.25                 205.01                  -999.25                 -999.25                 -999.25                 
442.40                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
442.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
442.60                  -999.25                 200.15                  -999.25                 -999.25                 -999.25                 
442.70                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
442.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
442.90                  -999.25                 197.97                  33.2                    -999.25                 -999.25                 
443.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
443.10                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
443.20                  -999.25                 199.43                  31.1                    -999.25                 -999.25                 
443.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
443.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
443.50                  -999.25                 192.64                  -999.25                 -999.25                 -999.25                 
443.60                  -999.25                 -999.25                 35.3                    -999.25                 -999.25                 
443.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
443.80                  -999.25                 188.05                  -999.25                 -999.25                 -999.25                 
443.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
444.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
444.10                  -999.25                 186.16                  -999.25                 -999.25                 -999.25                 
444.20                  -999.25                 -999.25                 -999.25                 -999.25                 84495.109               
444.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
444.40                  -999.25                 189.04                  -999.25                 -999.25                 -999.25                 
444.50                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
444.60                  -999.25                 -999.25                 33.2                    -999.25                 -999.25                 
444.70                  -999.25                 188.10                  -999.25                 -999.25                 -999.25                 
444.80                  -999.25                 -999.25                 -999.25                 -999.25                 84495.109               
444.90                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
445.00                  -999.25                 186.33                  38.6                    -999.25                 -999.25                 
445.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
445.20                  -999.25                 -999.25                 37.4                    0.103                   84495.109               
445.30                  -999.25                 185.19                  -999.25                 -999.25                 -999.25                 
445.40                  -999.25                 -999.25                 38.6                    0.103                   84495.109               
445.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
445.60                  -999.25                 187.93                  37.8                    0.103                   84495.109               
445.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
445.80                  -999.25                 -999.25                 36.1                    -999.25                 -999.25                 
445.90                  -999.25                 186.93                  31.5                    0.103                   84495.109               
446.00                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
446.10                  -999.25                 -999.25                 33.2                    0.103                   84495.109               
446.20                  -999.25                 189.10                  -999.25                 -999.25                 -999.25                 
446.30                  -999.25                 -999.25                 37.4                    0.103                   84495.109               
446.40                  -999.25                 -999.25                 31.1                    -999.25                 -999.25                 
446.50                  -999.25                 192.44                  -999.25                 -999.25                 -999.25                 
446.60                  -999.25                 -999.25                 35.7                    0.103                   -999.25                 
446.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
446.80                  -999.25                 200.87                  32.7                    0.103                   84495.109               
446.90                  -999.25                 -999.25                 -999.25                 0.103                   12.777                  
447.00                  -999.25                 -999.25                 33.2                    -999.25                 -999.25                 
447.10                  -999.25                 198.82                  -999.25                 0.103                   23.778                  
447.20                  -999.25                 -999.25                 33.6                    -999.25                 -999.25                 
447.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
447.40                  -999.25                 196.58                  30.2                    -999.25                 -999.25                 
447.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
447.60                  -999.25                 -999.25                 31.9                    -999.25                 -999.25                 
447.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
447.80                  -999.25                 195.97                  -999.25                 -999.25                 -999.25                 
447.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
448.00                  -999.25                 -999.25                 -999.25                 0.423                   21194.309               
448.10                  -999.25                 200.17                  -999.25                 -999.25                 -999.25                 
448.20                  -999.25                 -999.25                 -999.25                 0.255                   -999.25                 
448.30                  -999.25                 -999.25                 29.9                    0.837                   28187.118               
448.40                  -999.25                 198.85                  31.1                    0.796                   -999.25                 
448.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
448.60                  -999.25                 -999.25                 27.4                    -999.25                 -999.25                 
448.70                  -999.25                 199.42                  30.9                    0.733                   -999.25                 
448.80                  92.3                    -999.25                 31.1                    -999.25                 -999.25                 
448.90                  -999.25                 -999.25                 -999.25                 0.760                   -999.25                 
449.00                  -999.25                 203.21                  -999.25                 0.733                   -999.25                 
449.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
449.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
449.30                  -999.25                 202.31                  -999.25                 -999.25                 -999.25                 
449.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
