********************************************************************************

Well:		Bilabri D3
Path:		Original Path
Hole:		Original Path Hole
Start:		262.00(m)
End:			841.00(m)
Date/Time:	Wednesday, October 11, 2006 /19:13:48
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

278.40                  278.40                  -999.25                 53.2                    -999.25                 -999.25                 -999.25                 
278.50                  278.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
278.60                  278.59                  23.29                   -999.25                 -999.25                 -999.25                 -999.25                 
278.70                  278.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
278.80                  278.80                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
278.90                  278.89                  26.35                   -999.25                 2849.472                84495.109               -999.25                 
279.00                  279.00                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
279.10                  279.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
279.20                  279.20                  22.72                   -999.25                 -999.25                 -999.25                 -999.25                 
279.30                  279.30                  -999.25                 49.3                    2849.472                84495.109               -999.25                 
279.40                  279.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
279.50                  279.50                  22.69                   48.4                    -999.25                 -999.25                 -999.25                 
279.60                  279.60                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
279.70                  279.70                  -999.25                 48.4                    -999.25                 -999.25                 -999.25                 
279.80                  279.81                  21.87                   -999.25                 -999.25                 -999.25                 -999.25                 
279.90                  279.90                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
280.00                  280.00                  -999.25                 50.6                    -999.25                 -999.25                 -999.25                 
280.10                  280.11                  21.74                   -999.25                 -999.25                 -999.25                 -999.25                 
280.20                  280.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
280.30                  280.30                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
280.40                  280.42                  27.17                   53.2                    2849.472                84495.109               -999.25                 
280.50                  280.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
280.60                  280.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
280.70                  280.72                  28.25                   51.4                    -999.25                 -999.25                 -999.25                 
280.80                  280.80                  -999.25                 62.8                    -999.25                 -999.25                 -999.25                 
280.90                  280.90                  -999.25                 -999.25                 -999.25                 84495.109               -999.25                 
281.00                  281.03                  27.11                   -999.25                 -999.25                 -999.25                 -999.25                 
281.10                  281.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
281.20                  281.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
281.30                  281.33                  31.20                   -999.25                 2849.472                84495.109               -999.25                 
281.40                  281.40                  -999.25                 63.2                    -999.25                 -999.25                 -999.25                 
281.50                  281.50                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
281.60                  281.64                  27.48                   -999.25                 -999.25                 -999.25                 -999.25                 
281.70                  281.70                  -999.25                 66.2                    -999.25                 -999.25                 -999.25                 
281.80                  281.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
281.90                  281.94                  21.82                   -999.25                 2849.472                84495.109               -999.25                 
282.00                  282.00                  -999.25                 64.5                    -999.25                 -999.25                 -999.25                 
282.10                  282.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
282.20                  282.24                  14.53                   -999.25                 -999.25                 -999.25                 -999.25                 
282.30                  282.30                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
282.40                  282.40                  -999.25                 63.6                    -999.25                 -999.25                 -999.25                 
282.50                  282.55                  11.89                   -999.25                 2849.472                84495.109               -999.25                 
282.60                  282.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
282.70                  282.70                  -999.25                 56.2                    -999.25                 -999.25                 -999.25                 
282.80                  282.80                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
282.90                  282.85                  10.18                   -999.25                 -999.25                 -999.25                 -999.25                 
283.00                  283.00                  -999.25                 59.7                    -999.25                 -999.25                 -999.25                 
283.10                  283.10                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
283.20                  283.16                  8.99                    -999.25                 -999.25                 -999.25                 -999.25                 
283.30                  283.30                  -999.25                 52.7                    2849.472                84495.109               -999.25                 
283.40                  283.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
283.50                  283.46                  7.87                    53.6                    2849.472                84495.109               -999.25                 
283.60                  283.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
283.70                  283.70                  -999.25                 58.0                    -999.25                 -999.25                 -999.25                 
283.80                  283.77                  6.93                    -999.25                 -999.25                 -999.25                 -999.25                 
283.90                  283.90                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
284.00                  284.00                  -999.25                 58.0                    -999.25                 -999.25                 -999.25                 
284.10                  284.07                  6.21                    -999.25                 2849.472                84495.109               -999.25                 
284.20                  284.20                  -999.25                 50.6                    -999.25                 -999.25                 -999.25                 
284.30                  284.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
284.40                  284.38                  6.83                    -999.25                 2849.472                84495.109               -999.25                 
284.50                  284.50                  -999.25                 50.6                    2849.472                84495.109               -999.25                 
284.60                  284.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
284.70                  284.68                  6.88                    -999.25                 -999.25                 -999.25                 -999.25                 
284.80                  284.80                  -999.25                 48.0                    -999.25                 -999.25                 -999.25                 
284.90                  284.90                  -999.25                 24.4                    2849.472                84495.109               -999.25                 
285.00                  284.99                  6.79                    -999.25                 -999.25                 -999.25                 -999.25                 
285.10                  285.10                  -999.25                 -999.25                 2849.472                84495.109               -999.25                 
285.20                  285.20                  -999.25                 24.0                    -999.25                 -999.25                 -999.25                 
285.30                  285.29                  6.80                    -999.25                 -999.25                 -999.25                 -999.25                 
285.40                  285.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
285.50                  285.50                  -999.25                 -999.25                 0.853                   0.222                   -999.25                 
285.60                  285.60                  7.11                    20.1                    -999.25                 -999.25                 -999.25                 
285.70                  285.70                  -999.25                 -999.25                 0.852                   0.297                   -999.25                 
285.80                  285.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
285.90                  285.90                  6.51                    20.1                    0.838                   0.311                   -999.25                 
286.00                  286.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
286.10                  286.10                  -999.25                 24.9                    0.809                   0.321                   -999.25                 
286.20                  286.21                  5.91                    -999.25                 -999.25                 -999.25                 -999.25                 
286.30                  -999.25                 -999.25                 24.4                    -999.25                 -999.25                 -999.25                 
286.40                  -999.25                 -999.25                 -999.25                 0.760                   0.278                   -999.25                 
286.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
286.60                  -999.25                 -999.25                 24.9                    0.738                   0.311                   -999.25                 
