
DEPTH                   TVD                     ROP_AVG                 GRAM                    RACLM                   RPCLM                   RACHM                   RPCHM                   TCDM                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   ohm.m                   ohm.m                   degF                    

881.75                  881.78                  31.73                   24.3                    0.668                   0.632                   0.649                   0.600                   155.5                   
882.00                  882.08                  28.17                   40.6                    0.670                   0.637                   0.652                   0.599                   155.5                   
882.25                  882.24                  28.14                   48.3                    0.687                   0.670                   0.675                   0.634                   155.5                   
882.50                  882.39                  28.11                   53.8                    0.701                   0.704                   0.713                   0.692                   155.5                   
882.75                  882.69                  24.10                   48.4                    0.708                   0.727                   0.734                   0.737                   155.5                   
883.00                  882.99                  19.11                   43.2                    0.707                   0.710                   0.713                   0.684                   155.5                   
883.25                  883.30                  19.98                   40.2                    0.694                   0.678                   0.694                   0.647                   155.5                   
883.50                  883.60                  20.71                   42.6                    0.678                   0.681                   0.676                   0.632                   155.5                   
883.75                  883.74                  22.44                   43.0                    0.659                   0.658                   0.645                   0.627                   155.5                   
884.00                  883.91                  24.63                   45.5                    0.662                   0.642                   0.627                   0.530                   155.5                   
884.25                  884.21                  26.08                   53.8                    0.652                   0.682                   0.642                   0.612                   155.5                   
884.50                  884.52                  30.18                   56.8                    0.658                   0.488                   0.602                   0.521                   155.5                   
884.75                  884.82                  34.52                   47.1                    0.664                   0.664                   0.623                   0.544                   155.5                   
885.00                  884.99                  34.52                   59.3                    0.676                   0.659                   0.610                   0.555                   155.5                   
885.25                  885.13                  34.52                   58.0                    0.723                   0.717                   0.679                   0.608                   155.5                   
885.50                  885.43                  35.91                   41.1                    0.770                   0.755                   0.714                   0.632                   155.5                   
885.75                  885.74                  41.77                   54.5                    0.797                   0.812                   0.740                   0.740                   155.5                   
886.00                  886.04                  44.04                   85.7                    0.808                   0.867                   0.766                   0.883                   155.5                   
886.25                  886.35                  39.44                   40.2                    0.797                   0.807                   0.705                   0.710                   155.5                   
886.50                  886.49                  37.95                   30.0                    0.782                   0.785                   0.713                   0.730                   155.5                   
886.75                  886.65                  36.23                   29.5                    0.759                   0.770                   0.704                   0.714                   155.5                   
887.00                  886.96                  38.26                   28.7                    0.752                   0.752                   0.714                   0.711                   155.5                   
887.25                  887.26                  32.91                   27.3                    0.746                   0.730                   0.713                   0.697                   155.5                   
887.50                  887.57                  28.85                   27.9                    0.746                   0.714                   0.696                   0.663                   155.5                   
887.75                  887.74                  27.86                   26.5                    0.753                   0.718                   0.722                   0.680                   155.5                   
888.00                  887.87                  27.09                   22.6                    0.764                   0.738                   0.727                   0.720                   155.5                   
888.25                  888.18                  23.87                   20.1                    0.790                   0.781                   0.758                   0.759                   155.5                   
888.50                  888.48                  21.53                   22.8                    0.827                   0.900                   0.903                   0.906                   155.5                   
888.75                  888.79                  19.62                   36.3                    0.821                   0.845                   0.860                   0.860                   155.5                   
889.00                  889.09                  19.16                   48.5                    0.793                   0.747                   0.765                   0.702                   155.5                   
889.25                  889.24                  20.32                   36.3                    0.782                   0.722                   0.748                   0.682                   155.5                   
889.50                  889.40                  21.55                   38.4                    0.792                   0.763                   0.779                   0.730                   155.5                   
889.75                  889.70                  23.66                   43.2                    0.799                   0.828                   0.802                   0.815                   155.5                   
890.00                  890.01                  25.29                   41.1                    0.796                   0.822                   0.738                   0.736                   155.5                   
890.25                  890.31                  25.38                   30.7                    0.794                   0.803                   0.709                   0.704                   155.5                   
890.50                  890.49                  24.85                   28.0                    0.791                   0.788                   0.691                   0.667                   155.5                   
890.75                  890.61                  24.47                   29.7                    0.796                   0.797                   0.697                   0.687                   155.5                   
891.00                  890.92                  23.67                   30.4                    0.823                   0.803                   0.793                   0.751                   155.5                   
