********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		Original Path Hole
Start:		1640.00(m)
End:			2913.00(m)
Date/Time:	Thursday, August 24, 2006 /15:59:50
********************************************************************************


DEPTH                   ROP_AVG                 GR1AX                   RACLX                   RPCHX                   NPLX                    BDCX                    DRHX                    TCDX                    TVD          
m                       m/hr                    API                     ohm.m                   ohm.m                   pu                      g/cc                    g/cc                    degF                    m          

1673.50                 10.36                   89.8                    1.082                   1.042                   41.68                   2.33                    0.07                    131.7                   1673.37                 
1673.75                 11.10                   85.8                    1.082                   1.044                   42.57                   2.33                    0.07                    131.7                   1673.62                 
1674.00                 12.62                   87.7                    1.082                   1.046                   43.46                   2.33                    0.07                    131.7                   1673.87                 
1674.25                 15.88                   89.6                    1.083                   1.049                   44.35                   2.33                    0.07                    131.7                   1674.12                 
1674.50                 17.96                   91.5                    1.083                   1.051                   45.24                   2.33                    0.07                    131.7                   1674.37                 
1674.75                 17.97                   89.4                    1.074                   1.037                   46.35                   2.33                    0.07                    131.7                   1674.62                 
1675.00                 17.97                   87.3                    1.065                   1.023                   47.45                   2.32                    0.07                    131.7                   1674.87                 
1675.25                 18.28                   85.3                    1.057                   1.009                   47.17                   2.32                    0.06                    131.7                   1675.12                 
1675.50                 18.19                   83.2                    1.048                   0.995                   46.89                   2.32                    0.06                    131.7                   1675.37                 
1675.75                 18.19                   81.1                    1.039                   0.981                   44.77                   2.31                    0.05                    131.7                   1675.62                 
1676.00                 17.81                   79.1                    1.033                   0.968                   42.66                   2.31                    0.05                    131.7                   1675.87                 
1676.25                 17.25                   77.0                    1.026                   0.954                   42.91                   2.30                    0.04                    131.7                   1676.12                 
1676.50                 16.70                   75.0                    1.020                   0.940                   43.16                   2.30                    0.04                    131.7                   1676.37                 
1676.75                 14.98                   79.7                    1.014                   0.926                   45.55                   2.31                    0.05                    131.7                   1676.62                 
1677.00                 13.68                   84.4                    1.003                   0.923                   47.93                   2.33                    0.06                    131.9                   1676.87                 
1677.25                 12.39                   89.1                    0.992                   0.919                   50.31                   2.36                    0.09                    132.1                   1677.12                 
1677.50                 11.41                   86.9                    0.981                   0.916                   52.69                   2.32                    0.06                    132.2                   1677.37                 
1677.75                 11.84                   84.8                    0.984                   0.926                   55.08                   2.32                    0.06                    132.4                   1677.62                 
1678.00                 12.27                   82.6                    0.988                   0.937                   38.88                   2.32                    0.07                    132.5                   1677.87                 
1678.25                 12.43                   80.4                    0.993                   0.948                   43.17                   2.32                    0.07                    132.7                   1678.12                 
1678.50                 14.02                   78.3                    0.998                   0.959                   47.45                   2.33                    0.06                    132.9                   1678.37                 
1678.75                 13.60                   77.5                    0.984                   0.970                   51.06                   2.34                    0.06                    133.0                   1678.62                 
1679.00                 13.45                   76.8                    0.977                   0.916                   48.43                   2.33                    0.06                    133.2                   1678.87                 
1679.25                 13.30                   79.2                    0.965                   0.905                   45.79                   2.32                    0.06                    133.3                   1679.12                 
1679.50                 10.45                   81.6                    0.954                   0.895                   43.16                   2.31                    0.06                    133.5                   1679.37                 
1679.75                 10.97                   83.9                    0.942                   0.885                   51.06                   2.31                    0.06                    133.7                   1679.62                 
1680.00                 11.98                   84.9                    0.938                   0.895                   52.37                   2.31                    0.06                    133.8                   1679.87                 
1680.25                 11.92                   85.8                    0.934                   0.905                   53.69                   2.31                    0.06                    134.0                   1680.12                 
1680.50                 12.03                   85.3                    0.928                   0.885                   54.03                   2.33                    0.07                    134.1                   1680.37                 
1680.75                 12.13                   84.9                    0.922                   0.865                   54.38                   2.32                    0.07                    134.3                   1680.62                 
1681.00                 6.07                    84.4                    0.916                   0.865                   52.94                   2.32                    0.07                    134.5                   1680.86                 
1681.25                 0.00                    83.9                    0.909                   0.865                   51.50                   2.31                    0.07                    134.1                   1681.11                 
1681.50                 0.00                    83.4                    0.903                   0.865                   50.05                   2.31                    0.07                    133.8                   1681.36                 
1681.75                 0.00                    83.0                    1.076                   1.063                   48.61                   2.29                    0.06                    133.4                   1681.61                 
1682.00                 0.00                    82.5                    0.975                   0.954                   47.45                   2.29                    0.06                    133.1                   1681.86                 
1682.25                 13.02                   81.4                    0.874                   0.845                   48.04                   2.30                    0.06                    132.8                   1682.11                 
1682.50                 65.25                   80.2                    1.088                   0.855                   48.62                   2.29                    0.05                    132.4                   1682.36                 
1682.75                 104.51                  79.1                    1.025                   0.838                   49.21                   2.29                    0.04                    132.1                   1682.61                 
1683.00                 573.82                  78.0                    0.962                   0.822                   49.82                   2.29                    0.05                    131.7                   1682.86                 
1683.25                 1043.13                 76.8                    0.899                   0.805                   50.43                   2.30                    0.06                    131.7                   1683.11                 
1683.50                 1512.43                 80.0                    0.837                   0.789                   51.98                   2.31                    0.07                    131.7                   1683.36                 
1683.75                 1189.91                 83.1                    0.831                   0.769                   53.53                   2.29                    0.06                    131.7                   1683.61                 
1684.00                 726.69                  86.3                    0.826                   0.748                   55.08                   2.29                    0.06                    131.7                   1683.86                 
1684.25                 273.46                  99.9                    0.820                   0.728                   64.80                   2.30                    0.07                    131.9                   1684.11                 
1684.50                 143.71                  113.6                   0.819                   0.798                   61.80                   2.30                    0.07                    132.0                   1684.36                 
1684.75                 13.96                   105.4                   0.823                   0.805                   58.80                   2.30                    0.06                    132.1                   1684.61                 
1685.00                 18.80                   97.3                    0.827                   0.812                   55.79                   2.30                    0.06                    132.3                   1684.86                 
1685.25                 19.73                   89.1                    0.825                   0.819                   49.23                   2.29                    0.06                    132.4                   1685.11                 
1685.50                 23.08                   88.1                    0.823                   0.826                   42.66                   2.29                    0.06                    132.5                   1685.36                 
1685.75                 23.18                   87.0                    0.817                   0.803                   43.31                   2.29                    0.06                    132.7                   1685.61                 
1686.00                 23.16                   86.0                    0.811                   0.780                   43.95                   2.29                    0.06                    132.8                   1685.86                 
